run_id,task_category,model_slug,is_done,done_reason,total_duration_s,load_duration_s,input_token_count,input_token_duration_s,output_token_count,output_token_duration_s,is_thinking,output_char_count,thinking_char_count,generation_limit_reached,final_content_empty,generation_failure,reasoning_limit_failure,truncated_response,latency_s,cc_duration_s,carbon_emissions_grams,emissions_rate_grams_per_s,mean_cpu_power_w,mean_gpu_power_w,mean_ram_power_w,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,total_energy_consumed_kwh,cpu_util_percent,gpu_util_percent,ram_util_percent,avg_ram_used_gb
M1G__UP027,open_qa,granite4.1:8b,True,stop,2.351527849,0.281173895,2942,0.01742,259,2.019683,False,1167,0,False,False,False,False,False,2.3552728749928065,3.8665182889671996,0.09018915971875015,0.02332567777478195,12.501747237500002,192.31532767460044,20.0,1.1677107340288105e-05,0.0002063929428910427,1.867797370553793e-05,0.00023674802393686874,0.0,94.5,58.1,35.547943115234375
M1S__UP027,open_qa,granite4.1:8b,True,stop,0.650641192,0.289315242,3003,0.023775,37,0.292791,False,181,0,False,False,False,False,False,0.6543419709778391,2.1697927799541503,0.022740452927546267,0.01048047220805426,12.5,74.40721865484353,20.0,5.768164152767794e-06,4.4698646870067194e-05,9.227250999861605e-06,5.969406202269659e-05,0,0,0,0
M1S__UP028,open_qa,granite4.1:8b,True,stop,0.840149724,0.268662534,2999,0.017242,65,0.51018,False,320,0,False,False,False,False,False,0.843957053963095,2.3556315560126677,0.030259325931305904,0.012845525801380112,12.500000112500002,95.97632746383705,20.0,6.428604061363464e-06,6.271977239791227e-05,1.0282850555571107e-05,7.943122701484684e-05,0,0,0,0
M1G__UP028,open_qa,granite4.1:8b,True,stop,2.505658174,0.268226047,2938,0.017274,279,2.177742,False,1431,0,False,False,False,False,False,2.5082778899814,4.018178436963353,0.09682999334110548,0.024097982421677256,12.502457637500001,199.43287268365938,20.0,1.2206514595163042e-05,0.00022244934462456456,1.9524461927681437e-05,0.000254180321147409,25.0,94.0,58.0,35.54428482055664
M1G__UP029,open_qa,granite4.1:8b,True,stop,7.036594377,0.263200511,2937,0.017223,858,6.714021,False,3768,0,False,False,False,False,False,7.040530656988267,8.552188328001648,0.27772152359244284,0.03247373805872874,12.503035362500002,276.3912870823993,20.0,2.795080699723327e-05,0.0006563646917578936,4.470805707225938e-05,0.0007290235558273863,7.142857142857143,80.85714285714286,58.1,35.5460444859096
M1S__UP029,open_qa,granite4.1:8b,True,stop,3.810377819,0.288594575,2998,0.02289,442,3.454623,False,1955,0,False,False,False,False,False,3.814234943012707,5.326016552979127,0.14817754951253725,0.027821458690295214,12.5030322125,233.62832997469388,20.0,1.6746188900857086e-05,0.00034543805412834416,2.67842554943248e-05,0.00038896849852352607,0.0,94.33333333333333,58.0,35.53879038492838
M1S__UP030,open_qa,granite4.1:8b,True,stop,2.988156393,0.290206266,3003,0.017345,338,2.643192,False,1519,0,False,False,False,False,False,2.991283288982231,4.505491579999216,0.11612888285360312,0.025774963906074668,12.5024576,215.0477418262938,20.0,1.3885491976155981e-05,0.00026874299277146463,2.221173799447974e-05,0.00030484022274210033,0.0,93.0,58.0,35.54294204711914
M1G__UP030,open_qa,granite4.1:8b,True,stop,5.711312094,0.288911302,2942,0.017478,686,5.360381,False,3194,0,False,False,False,False,False,5.714972154004499,7.228555780020542,0.2258310324275602,0.03124151480600713,12.50313141875,265.20004085144956,20.0,2.3346651151856057e-05,0.0005321207034727493,3.734281056127252e-05,0.0005928101651858779,20.0,94.4,58.0,35.53980331420898
M1G__UP031,open_qa,granite4.1:8b,True,stop,6.813985518,0.291414865,2943,0.017473,826,6.461067,False,3405,0,False,False,False,False,False,6.8178833479760215,8.33297822001623,0.2722035752155922,0.03266582103403865,12.503414439285716,278.3974182404394,20.0,2.717818891471474e-05,0.0006438896817773099,4.347098011672238e-05,0.000714538850808747,0.0,93.83333333333333,58.0,35.5363400777181
M1S__UP031,open_qa,granite4.1:8b,True,stop,3.533499174,0.271202079,3004,0.023998,409,3.195309,False,1616,0,False,False,False,False,False,3.537331778963562,5.049335174029693,0.13893285465132077,0.027515078691130627,12.502943084375001,230.91531952540743,20.0,1.578402199833816e-05,0.00032367137004829516,2.524563079447641e-05,0.00036470102284110974,0.0,94.66666666666667,58.0,35.540671030680336
M1S__UP032,open_qa,granite4.1:8b,True,stop,3.375355665,0.279862581,3000,0.017329,388,3.033615,False,1632,0,False,False,False,False,False,3.379402983991895,4.890976082999259,0.13297104122566908,0.02718701522337606,12.502337553125,227.913916242763,20.0,1.5234558134016418e-05,0.0003094483031143014,2.436830353884337e-05,0.0003490511647871612,0.0,94.33333333333333,58.0,35.539676666259766
M1G__UP032,open_qa,granite4.1:8b,True,stop,3.770188646,0.260231424,2939,0.017384,442,3.450561,False,1896,0,False,False,False,False,False,3.7740727749769576,5.286018521990627,0.14929022937845435,0.02824247186372592,12.5030322125,237.63749818924447,20.0,1.660672734983916e-05,0.00034872194564350423,2.656062843323323e-05,0.0003918893014265766,0.0,94.0,58.1,35.55121103922526
M1G__UP033,open_qa,granite4.1:8b,True,stop,4.886407908,0.28919241,2937,0.059626,577,4.500058,False,3127,0,False,False,False,False,False,4.88994648802327,6.401413203973789,0.19295216465200568,0.030142119951298764,12.50288216,255.0186966634782,20.0,2.0481055983606977e-05,0.0004532609181637781,3.276062370536642e-05,0.0005065025978527515,0.0,94.5,58.1,35.56532859802246
M1S__UP033,open_qa,granite4.1:8b,True,stop,1.23712331,0.238392242,2998,0.022767,119,0.932375,False,688,0,False,False,False,False,False,1.2409896969911642,2.7528869620291516,0.047865685382947554,0.01738745035417865,12.500230456250002,137.92727818068565,20.0,7.807088571547271e-06,0.0001053525842822367,1.2488536577762311e-05,0.00012564820943154628,0.0,94.0,58.1,35.557456970214844
M1S__UP034,open_qa,granite4.1:8b,True,stop,2.721138644,0.291144988,3010,0.017324,303,2.369789,False,1660,0,False,False,False,False,False,2.7250041109509766,4.240034285990987,0.1048792303072971,0.02473546750643422,12.5025767375,205.4320671723272,20.0,1.2964005020101283e-05,0.00024161158217772538,2.0734113044454716e-05,0.00027530970024228137,0.0,94.0,58.1,35.559823989868164
